q1,q2,q3,q4,q5,q6,q7,q29,q58,q65,q67,weight,stratum,psu
3,1,1,,C,1.65,81.65,1,1,1,1,0.8614,103,16294
4,2,1,2,E,,,1,1,1,1,0.892,103,16294
5,2,3,2,E,1.68,74.84,1,4,1,1,0.5081,103,16294
6,1,2,2,E,,,1,2,1,2,1.1759,103,16294
3,2,1,2,E,1.85,56.7,1,2,1,3,0.892,103,16294
5,2,1,2,E,1.8,72.58,1,3,1,2,0.892,103,16294
6,2,3,2,E,1.83,74.84,1,2,1,4,0.5081,103,16294
4,1,1,2,E,1.52,73.48,1,1,1,1,0.8614,103,16294
4,2,1,2,BC,1.65,61.24,2,3,1,2,0.8453,103,16294
6,1,3,2,C,1.63,53.07,1,2,1,2,0.8148,103,16294
5,2,2,2,E,1.7,63.5,1,1,1,3,0.7834,103,16294
4,1,1,2,C,1.57,72.12,1,1,1,1,0.7896,103,16294
4,2,1,1,A,1.68,65.77,1,,1,3,1.0781,103,16294
7,1,3,2,C,1.63,136.08,1,3,1,1,0.8148,103,16294
4,2,2,2,C,1.75,73.94,,2,1,2,0.7872,103,16294
3,1,1,2,E,1.68,97.52,1,1,3,1,0.8614,103,16294
4,2,1,2,E,1.88,122.47,1,2,1,3,0.892,103,16294
7,2,3,2,E,1.93,68.04,1,3,1,3,0.5081,103,16294
5,1,3,2,E,1.65,49.9,1,1,3,4,0.4727,103,16294
5,1,1,2,E,1.52,52.16,1,1,1,1,0.8614,103,16294
5,2,3,2,C,,,3,1,1,1,0.3029,103,16294
5,2,2,,C,1.9,131.54,1,3,1,1,0.7872,103,16294
7,2,4,1,,1.73,95.26,1,1,1,1,1.413,103,16294
5,1,3,2,C,1.8,83.01,1,2,1,1,0.8148,103,16294
6,1,3,2,C,1.63,59.88,1,3,1,3,0.8148,103,16294
5,1,2,2,C,1.65,68.04,1,1,1,1,0.7032,103,16294
6,1,4,2,E,1.6,47.17,1,1,1,2,2.0764,103,16294
6,1,3,2,E,1.75,74.84,1,1,1,4,0.4727,103,16294
5,2,2,2,C,1.83,83.92,1,,1,1,0.7872,103,16294
7,1,4,2,E,1.78,74.84,1,2,1,1,2.0764,103,16294
6,2,3,2,E,1.75,63.5,1,2,1,2,0.5081,103,16294
5,1,3,2,C,1.6,70.31,1,3,1,3,0.8148,103,16294
5,2,2,2,C,1.78,79.38,1,2,1,1,0.7872,103,16294
7,2,4,2,C,1.85,63.5,1,7,1,2,1.429,103,16294
6,1,3,2,C,1.65,62.6,1,1,1,3,0.8148,103,16294
4,2,2,2,C,1.9,69.85,1,1,1,2,0.7872,103,16294
6,1,4,2,E,1.63,53.07,1,4,1,4,2.0764,103,16294
7,2,3,2,C,1.93,111.13,1,2,1,3,0.3029,103,16294
6,2,3,2,E,1.8,122.47,1,1,2,1,0.5081,103,16294
6,2,2,2,C,1.73,70.31,1,7,1,2,0.7872,103,16294
6,1,3,2,E,1.63,57.15,1,2,1,1,0.4727,103,16294
3,2,1,2,E,1.63,56.7,1,1,1,4,0.892,103,16294
5,1,1,1,C E,1.45,44.45,1,1,1,2,0.748,103,16294
5,1,3,2,C,1.57,73.48,1,7,1,3,0.8148,103,16294
6,2,2,2,E,1.7,79.38,5,7,1,2,0.7834,103,16294
6,2,3,2,E,1.75,83.92,1,1,1,3,0.5081,103,16294
6,1,3,2,C,1.57,54.89,5,2,1,4,0.8148,103,16294
5,1,1,2,DE,1.65,70.76,2,,1,1,0.3206,103,16294
3,1,1,2,E,1.52,49.9,1,1,1,1,0.8614,103,16294
6,1,3,2,C,1.65,56.7,1,4,1,2,0.8148,103,16294
4,1,1,2,C,1.63,53.52,1,6,1,3,0.7896,103,16294
4,2,1,2,C,1.75,72.58,1,4,1,2,0.8453,103,16294
6,1,3,2,C,1.65,99.79,1,1,1,1,0.8148,103,16294
7,2,4,2,C,1.9,77.11,1,7,1,2,1.429,103,16294
7,2,4,2,E,1.83,80.74,1,7,1,3,1.7727,103,16294
7,2,3,2,E,1.83,86.18,1,2,1,3,0.5081,103,16294
4,1,2,2,C,,,1,1,1,1,0.7032,103,16294
6,2,2,2,E,1.8,122.47,1,1,1,1,0.7834,103,16294
4,2,1,2,C,1.75,61.24,1,1,1,3,0.8453,103,16294
6,1,3,2,C,,,4,3,1,1,0.8148,103,16294
3,2,1,2,C,1.75,65.77,1,4,1,2,0.8453,103,16294
3,2,1,2,C E,1.83,111.13,1,2,1,1,0.892,103,16294
6,2,3,2,E,1.78,70.31,1,1,1,3,0.5081,103,16294
4,2,2,2,E,1.75,65.77,1,3,1,3,0.7834,103,16294
3,1,1,2,A C,1.55,40.82,1,1,1,2,0.2415,103,16294
3,1,1,2,E,1.63,54.43,1,1,1,4,0.8614,103,16294
6,1,3,2,C,1.65,61.24,1,1,1,1,0.8148,103,16294
5,2,2,2,C,1.8,86.18,1,5,1,1,0.7872,103,16294
6,1,4,2,C,1.65,113.4,1,1,1,1,2.2581,103,16294
6,1,3,1,E,1.7,45.36,1,1,1,2,0.457,103,16294
4,2,2,2,E,1.73,61.24,1,3,1,2,0.7834,103,16294
6,1,3,2,E,1.68,68.04,1,2,1,1,0.4727,103,16294
6,1,2,2,C,1.65,83.92,1,1,1,1,0.7032,103,16294
7,1,3,2,E,1.65,79.38,1,1,1,,0.4727,103,16294
6,1,3,2,C,1.7,54.43,1,2,1,3,0.8148,103,16294
6,2,4,2,E,1.75,90.72,,7,1,4,1.7727,103,16294
6,1,3,2,E,1.65,56.7,1,1,1,2,0.4727,103,16294
4,2,2,2,E,1.88,90.72,1,1,4,2,0.7834,103,16294
5,1,3,2,C,1.65,58.97,1,1,1,3,0.8148,103,16294
6,2,2,2,C,1.83,74.39,1,5,1,2,0.7872,103,16294
5,1,1,2,E,1.55,46.72,1,1,1,4,0.8614,103,16294
4,2,1,2,C E,1.75,58.51,1,1,1,2,0.8453,103,16294
4,2,1,2,E,1.83,72.58,1,4,1,1,0.892,103,16294
5,1,3,2,E,1.6,44.45,2,3,2,2,0.4727,103,16294
4,1,2,2,E,1.57,81.65,1,2,1,4,1.1759,103,16294
4,2,1,2,A C E,1.83,89.81,2,2,1,1,0.1894,103,16294
4,1,1,2,C,,,1,1,4,1,0.7896,103,16294
7,1,4,1,E,,,1,1,1,1,3.1418,103,16294
3,2,1,2,C,1.8,70.31,1,5,1,1,0.8453,103,16294
4,2,1,2,C E,1.73,61.69,1,1,1,2,0.892,103,16294
4,1,2,2,C,1.68,113.4,1,1,1,1,0.7032,103,16294
5,1,2,2,C,1.63,74.84,1,3,1,4,0.7032,103,16294
3,2,1,2,C,1.73,62.6,1,5,1,2,0.8453,103,16294
7,2,4,2,E,1.68,71.67,1,7,1,4,1.7727,103,16294
5,2,2,2,E,1.65,54.43,1,1,1,3,0.7834,103,16294
4,2,1,2,C,1.6,67.59,2,7,1,2,0.8453,103,16294
4,1,1,2,E,,,1,1,1,4,0.8614,103,16294
5,1,3,2,C,1.65,54.43,1,1,1,3,0.8148,103,16294
6,1,2,2,C,1.57,63.5,1,2,1,3,0.7032,103,16294
6,2,3,2,E,1.78,83.92,1,1,1,1,0.5081,103,16294
7,2,4,2,E,1.73,70.31,1,2,,,1.7727,103,16294
